,id,name,rating_kp,rating_imdb,votes_kp,votes_imdb,year,genre,director,director_id,countries
69,425954,Помнишь запах сирени...,6.333,0.0,206,0,1992,мелодрама,Борис Галкин,269719,Россия
70,471892,Читаем Блокадную книгу,7.878,6.4,599,64,2009,документальный,Александр Сокуров,37383,Россия
71,893512,"Сергей Бодров. Где ты, брат?",7.557,0.0,124,0,2012,документальный,Константин Смилга,2484940,Россия
72,487595,Чёрный клоун,4.882,0.0,213,0,1994,"фантастика, триллер",Борис Галкин,269719,Россия
73,41522,Бред вдвоем,5.089,4.9,80,16,1995,"драма, комедия",Борис Милграм,269852,Россия
74,587840,Родина или смерть,6.6,7.1,383,63,2011,документальный,Виталий Манский,251139,Россия
75,279043,Три дня в Одессе,5.923,3.6,3859,78,2007,"криминал, детектив, история",Алексей Пиманов,1208250,Россия
76,356795,Полное дыхание,6.1,6.6,1242,37,2006,"драма, мелодрама",Валерий Пендраковский,238745,Россия
77,471573,Реальная сказка,5.186,4.4,17171,404,2011,"фэнтези, драма, комедия, семейный",Андрей Мармонтов,1599096,Россия
78,925963,Буквальная геометрия,6.286,7.7,96,207,2015,документальный,Екатерина Еременко,1152773,"Россия, Германия"
79,1270685,Родина трип,7.007,0.0,1004,0,2019,документальный,"Дмитрий Вологдин, Илья Зверев","5000042, 5000043",Россия
80,540773,Атомный Иван,5.357,5.4,2012,133,2012,"мелодрама, комедия",Василий Бархатов,2227966,Россия
81,41214,Джонатан — друг медведей,6.098,6.2,184,445,1994,"боевик, вестерн",Энцо Дж. Кастеллари,181112,"Италия, Россия"
82,420422,Между первой и второй,4.541,0.0,133,0,2004,комедия,Владимир Мельниченко,1629555,Россия
83,400127,Яр,5.624,4.7,1236,59,2007,драма,Марина Разбежкина,580997,Россия
84,893205,Последний вагон. Весна,5.14,0.0,957,0,2014,триллер,Антон Калинкин,1079130,Россия
85,279040,Королёв,6.083,5.1,3283,99,2007,драма,Юрий Кара,224637,Россия
86,256080,День Святого Валентина,6.241,5.6,3317,53,2000,комедия,Анатолий Эйрамджан,273145,Россия
